PROVENIENZA	id	MISURA_FRAMMENTO	FRAMMENTO	chiusi	K	Ca	Ti	Cr	Mn	Fe	Zn	Rb	Sr	somma	valutazione	confidence	perRepVal	perRepConf	NeuralNet	NearestNeighbors	SVC	DecisionTree	RandomForest	NaiveBayes
1	8.1/40_8a	1	108	40_8a	19,6510110893672	44,9466574079919	2,13528186351872	,248300822759506	,752267323190876	32,0839383035583	,0536582286471814	,0431370073438125	,0857479536224565	100	1	1	1	1	1	1	1	1	1	1
1	8.2/40_8b	2	108	40_8b	18,5433728234078	49,5261191063052	2,59600858710344	,430945376480878	,518406615250059	28,1911425618192	,0580424584559116	,0405502107020752	,0954122604754711	100	1	1	" "	" "	1	1	1	1	1	1
1	8.3/40_8a	3	108	40_8a	21,4918453514364	44,4821591191324	2,58299528106631	,405662720423876	,778210116731518	29,9693683251925	,082788310290587	,0662306482324696	,140740127493998	100	1	1	" "	" "	1	1	1	1	1	1
1	8.4/40_8b	4	108	40_8b	16,9103920348475	48,5765401369011	3,01804604853765	,497822028624767	,63005600497822	30,048226509023	,0933416303671437	,0622277535780958	,163347853142502	100	1	1	" "	" "	1	1	1	1	1	1
1	9.1/48_23a	1	109	48_23a	13,6259032968396	55,3707781533976	1,87203423999007	,276649195174146	,698446174363428	27,9949136246627	,0552057810997736	,0285333250628043	,0775362094097944	100	1	1	1	1	1	1	1	1	1	1
1	9.2/48_23b	2	109	48_23b	15,4643690634172	48,7092324688993	1,87682632655863	,347124618391721	,686404612638997	32,7022769021579	,0706016173000111	,0366082460074132	,10655614462872	100	1	1	" "	" "	1	1	1	1	1	1
1	9.3/48_23a	3	109	48_23a	11,9478334034497	54,9747580984434	2,57677745056794	,283971392511569	,804585612116113	29,1649137568363	,0841396718552798	,0473285654185949	,11569204880101	100	1	1	" "	" "	1	1	1	1	1	1
1	9.4/48_23b	4	109	48_23b	16,2883736120183	47,3138471587198	2,58001306335728	,310254735467015	,710320052253429	32,5114304376225	,0979751796211626	,0408229915088178	,146962769431744	100	1	1	" "	" "	1	1	1	1	1	1
1	10.1/59_35a	1	110	59_35a	11,5635659002572	48,8056251204007	3,1808446746065	,521264178952259	1,0136321914626	34,7263929651999	,0322957154350856	,0362618559271137	,120117397758564	100	1	1	1	1	1	1	1	1	1	1
1	10.2/59_35b	2	110	59_35b	12,7074179925777	46,4342082010469	2,77024515389912	,283971456602946	1,06824455670593	36,5530983967191	,0377816101059713	,0347347060651672	,11029792627711	100	1	1	" "	" "	1	1	1	1	1	1
1	11.1/59_159a	1	111	59_159a	16,545028865146	50,4998970463749	1,74792376856025	,286744911421752	,539171947806325	30,2157450410671	,0556712195047549	,0404188305993426	,069398369519626	100	1	1	" "	" "	1	1	1	1	1	1
1	11.2/59_159b	2	111	59_159b	18,6108457738599	48,931524794629	1,47648808711553	,440490161294725	,515815616386016	29,8408886220354	,069867088780328	,0420294205944161	,0720504353047133	100	1	1	" "	" "	1	1	1	1	1	1
1	12.1/80_25a	1	112	80_25a	18,4937048366361	48,6716983641442	2,03650751429711	,310879106264131	,683269051735603	29,5396107638427	,0581859289799175	,0426696812519395	,16347475284834	100	1	1	1	1	1	1	1	1	1	1
1	12.2/80_25	2	112	80_25	15,103909827404	51,4406481155336	2,27544910179641	,338147234941881	,7819654808031	29,6935540683339	,0774920746741811	,0563578724903135	,232476224022543	100	1	1	" "	" "	1	1	1	1	1	1
1	13.1/88_74a	1	113	88_74a	12,0639962076321	54,4911116378289	2,54467883384688	,128940507229201	,769850675515525	29,7800426641384	,0606778857549182	,0298648968949988	,130836691159043	100	1	1	1	1	1	1	1	1	1	1
1	13.2/88_74b	2	113	88_74b	11,4934748641519	55,0958053149968	2,45886602437991	,27454279767967	,762267445170514	29,6607435428673	,0436485093085191	,0360574642113853	,174594037234076	100	1	1	" "	" "	1	1	1	1	1	1
1	13.3/88_74	3	113	88_74	13,618283069357	53,4895494322702	3,07369639111882	,318217979315831	,773848267881681	28,4371157879511	,0723222680263253	,0361611340131626	,180805670065813	100	1	1	" "	" "	1	1	1	1	1	1
1	14.1/121_2a	1	114	121_2a	20,058677149801	35,0441046893306	2,03675552155853	,230448212089817	,750893228889298	41,6535143352344	,0760091791976917	,0595485926198476	,0900490912787939	100	1	1	1	1	1	1	1	1	1	1
1	14.2/121_2b	2	114	121_2b	19,9173953161387	37,2145817771724	2,50962989000688	,430598883957995	,819456039369041	38,9215987814344	,0637110593611318	,0454032836826457	,0776249688767813	100	1	1	" "	" "	1	1	1	1	1	1
1	14.3/121_2b	3	114	121_2b	18,9661074974324	37,8551865799384	3,38925025676138	,342348510783978	,907223553577542	38,2916809311879	,0855871276959945	,0599109893871962	,102704553235193	100	1	1	" "	" "	1	1	1	1	1	1
1	15.1/170_2a	1	115	170_2a	15,5720742347234	51,8343459761932	2,29458801715147	,295515123421022	,735890601460192	29,0805092462295	,0653941029419069	,0355942585633164	,086088439315928	100	1	1	1	1	1	1	1	1	1	1
1	15.2/170_2b	2	115	170_2b	19,2772223084869	46,7010525036625	2,45606691735922	,212661099221593	,61300405743875	30,5077536911891	,0749377206780851	,0526589388548706	,104642763109038	100	1	1	" "	" "	1	1	1	1	1	1
1	15.3/170_2a	3	115	170_2a	13,4257092032581	48,356895421777	2,64020222825578	,290234996723153	,851980151671192	34,0136691321037	,131073869487876	,0936241924913398	,196610804231814	100	1	1	" "	" "	1	1	1	1	1	1
1	15.4/170_2b	4	115	170_2b	14,1861894679325	48,6851990984222	2,53397991940441	,409808073219042	1,07916125947681	32,7231746465405	,102452018304761	,0887917491974592	,19124376750222	100	1	1	" "	" "	1	1	1	1	1	1
1	16.1/180_96a'	1	116	180_96a'	13,8917251298266	64,4148743453773	1,7418179023528	,282160227484822	,567065204264243	18,8245885620807	,053248136315229	,0351327909708727	,189387701327361	100	1	1	1	1	1	1	1	1	1	1
1	16.2/180_96a(BIG)	2	116	180_96a(BIG)	14,2280511819414	65,7377650097607	1,62266531409038	,195214266838296	,572003375757627	17,3855780132473	,0537052349817146	,0315411697511657	,173476433631412	100	1	1	" "	" "	1	1	1	1	1	1
1	16.3/180_96b'	3	116	180_96b'	11,6745614857893	70,921466091361	,811954788481381	,109042303723853	,418581746552856	15,8257902635775	,0457274176906481	,0252087046243317	,167667198199043	100	1	1	" "	" "	1	1	1	1	1	1
1	16.4/180_96b(BIG)	4	116	180_96b(BIG)	12,4178843393195	68,7242720107998	1,15698708015249	,11788529000732	,507667297289589	16,791048323462	,0798577771017331	,0247178833886317	,1796799984789	100	1	1	" "	" "	1	1	1	1	1	1
1	16.5/180_96a	5	116	180_96a	14,7638753651412	65,141187925998	1,77702044790652	,206913339824732	,596397273612463	17,1372930866602	,0730282375851996	,0486854917234664	,255598831548199	100	1	1	" "	" "	1	1	1	1	1	1
1	16.6/180_96b	6	116	180_96b	14,892384904932	65,2446675031368	1,96892191873371	,202683138693176	,54048836984847	16,7165331531705	,115818936396101	,048257890165042	,270244184924235	100	1	1	" "	" "	1	1	1	1	1	1
1	17.1/186_2a	1	117	186_2a	12,5984554255258	59,2831229325161	1,52090038326434	,108133010000704	,608488121364907	25,7139018101082	,0441489804144886	,0313521744972455	,0914971623082879	100	1	1	1	1	1	1	1	1	1	1
1	17.2/186_2b	2	117	186_2b	18,3744926099216	47,3607969510117	2,37969819973352	,248659870479968	,656895857218108	30,7532612400459	,0673937966721408	,0480277631456636	,11077371177145	100	1	1	" "	" "	1	1	1	1	1	1
1	17.3/186_2a	3	117	186_2a	11,4250386398763	58,6275115919629	2,23183925811437	,265842349304482	,680061823802164	26,5224111282844	,0556414219474498	,0556414219474498	,136012364760433	100	1	1	" "	" "	1	1	1	1	1	1
